Poly Bridge 2 - 3-04C "Double Down" unbreaking leaderboard
Updated 2023-08-27T00:32:41.594Z
1000/5634 unique ranks shown

    1. $4,599  Lagiiiie
    2. $4,983  notdocq
    3. $4,983  akkun_ouo
    4. $5,968  Zen
    5. $7,399  9k5
    6. $7,833  Trygeve
    7. $12,681 Noahsorou
    8. $13,369 Jhay80416
    9. $14,015 minecat
   10. $14,240 Bellair08
   11. $14,505 Cookieblues
   12. $15,597 Sexy Boy Industries [woop]
   13. $15,668 Soba
   14. $16,118 palfly15
   15. $16,140 Bibbb
   16. $16,211 Heater
   17. $16,228 7777Alex7777
   18. $16,232 sherry-hampton
   19. $16,289 Luuroon
   20. $16,408 Red Five Is Alive
   21. $16,408 Monlig-滑地上之小稽
   22. $16,420 A 2016 Toyota Corolla
   23. $16,431 I don't wanna do this anymore 🎮
   24. $16,434 Catraption
   25. $16,454 Crimson
   26. $16,454 Shadow
   27. $16,516 Alison
   28. $16,579 XxTrollFacexX
   29. $16,644 Astrozal
   30. $16,966 lancekro
   31. $16,991 Linuxx
   32. $17,028 Geert wilders
   33. $17,077 ScamMeister
   34. $17,205 TucLTU
   35. $17,221 Quillslash
   36. $17,227 AwesomeHolden6
   37. $17,247 olivapaa
   38. $17,307 Woodin Distree
   39. $17,322 lee731017
   40. $17,434 Weirdone
   41. $17,437 GuacamoleLover27
   42. $17,461 Alexey
   43. $17,487 lcmbo
   44. $17,691 Offspec
   45. $17,705 jeremiahskarda
   46. $17,748 SoulWager
   47. $17,877 Dusty
   48. $17,961 Croney
   49. $18,005 Marcel
   50. $18,466 Go Seigen
   51. $18,496 bastian.bello.c
   52. $18,770  Arabic In My Blood 
   53. $18,914 Lima
   54. $19,294 ★Bobby★GOPNIK
   55. $19,355 Sorter
   56. $19,717 ellisk1
   57. $19,825 kraal
   58. $19,865 Kimnet328
   59. $20,000 Turd Ferguson
   60. $20,079 Confirm NotJonah
   61. $20,275 Fugukichi
   62. $20,469 KommunistaShpion
   63. $20,503 Mizuhana
   64. $20,692 LankyBoi
   65. $20,754 HammeR
   66. $20,760 Supernye
   67. $21,215 Baked Cheese
   68. $21,248 fantakilla
   69. $21,599 jikennosamurai
   70. $21,749 lukas.bornheim
   71. $21,798 jason.fritsch18
   72. $21,817 iressle
   73. $21,859 Loganpie2
   74. $21,871 zezetel
   75. $22,060 emperors78
   76. $22,103 jelmervenema
   77. $22,204 CheesyGamer201
   78. $22,208 rhys_nayler
   79. $22,393 Shadovvk1lla
   80. $22,476 s_congdon
   81. $22,564 luneclipsee
   82. $22,743 Kertelik (✿◠‿◠)
   83. $23,008 D141D
   84. $23,016 Patfou
   85. $23,060 torry
   86. $23,125 Tim-Tech-Dev
   87. $23,323 7DeHond
   88. $23,476 connor.bray.ricks
   89. $23,487 Parrot
   90. $23,514 Gaotosky10
   91. $23,554 Babou
   92. $23,586 spray
   93. $23,610 Igloo
   94. $23,809 Salami
   95. $23,830 qiuqiuhulstrom
   96. $24,043 Jazzy
   97. $24,100 climberpi
   98. $24,227 HypersonicPineapple
   99. $24,261 Sticky Kitty!
  100. $24,339 gajisai
  101. $24,399 Agent Toasty
  102. $24,425 Dorno
  103. $24,467 nikola.radivoj1
  104. $24,489 No problem.
  105. $24,731 Not_brick
  106. $24,850 tokki10
  107. $24,855 lensman00
  108. $25,149 YaMa
  109. $25,158 Fathom
  110. $25,172 PROwill3
  111. $25,283 hmx0311
  112. $25,321 听冬岩尘开
  113. $25,348 alexmoreno524
  114. $25,384 kutadgu.arslan
  115. $25,475 emil_mniszko
  116. $25,493 OgelGames
  117. $25,500 mig_
  118. $25,506 MuscleMuscleDigDa
  119. $25,512 alex
  120. $25,601 Bryzerr
  121. $25,612 jerma985.ttv
  122. $25,732 FiTy
  123. $25,749 Kingly Red Lion Guy
  124. $25,754 Stabhole
  125. $25,799 ]S[Gatotsu
  126. $25,921 h-feldhaus
  127. $25,938 JakubBouska
  128. $26,114 POLAR
  129. $26,119 504874975
  130. $26,246 YarinHartman
  131. $26,262 biorni999
  132. $26,280 LittlePriest
  133. $26,286 veggie stix
  134. $26,369 Burning Curtains
  135. $26,408 kctryon
  136. $26,425 meatdealer
  137. $26,499 FrzMtrsprt
