Poly Bridge 2 - 5-15C "Double Duty" any% leaderboard (* = breaks)
Updated 2023-04-27T00:34:36.040Z
693/984 unique ranks shown

   *1. $6,969   7777Alex7777
   *2. $7,777   Dusty
   *3. $8,888   akkun_ouo
   *4. $8,888   9k5
   *5. $8,888   Lagiiiie
   *6. $8,888   Shadow
   *7. $8,888   geroniberry2
   *8. $11,646  Alexey
   *9. $11,666  Cookieblues
   10. $11,690  notdocq
   11. $11,999  Trygeve
  *12. $16,999  Fathom
  *13. $17,579  Zen
  *14. $23,555  Bellair08
   15. $24,088  Monlig-滑地上之小稽
  *16. $28,160  palfly15
  *17. $28,293  MOD
  *18. $28,749  Sexy Boy Industries [woop]
  *19. $28,857  Bibbb
   20. $28,928  somefakegamer
  *21. $30,068  joshwoz118
   22. $30,999  Soba
  *23. $35,347  bolong
  *24. $37,889  ScamMeister
   25. $39,424  Icysnowman
   26. $40,884  Crimson
   27. $42,930  BaconPancakes
  *28. $48,920  Alison
  *29. $49,557  Luuroon
   30. $50,500  Jacowboy
   31. $52,125  davidloh
   32. $54,269  R
   33. $55,021  cam
   34. $55,266  cliff007
   35. $55,555  minecat
   36. $56,392  ~ Smithy ~
   37. $57,039  Hyppis
   38. $59,085  Bubi
   39. $59,721  Marcel
   40. $59,999  Heater
   41. $61,518  lukas.bornheim
   42. $62,891  LUCAS1
  *43. $65,355  jason.fritsch18
  *44. $66,113  XIEPER
   45. $66,235  lee731017
   46. $66,336  Max_Girth
   47. $66,674  504874975
   48. $66,786  Thoomor
  *49. $67,109  TucLTU
   50. $67,165  Freedom_IT
   51. $67,939  gabrieljonathanhermel
   52. $68,972  sebastian.d.higgins
   53. $69,026  antananarivo
   54. $70,793  Draradech
   55. $71,111  olivapaa
   56. $71,173  Geert wilders
   57. $71,971  huurainotoruneko
  *58. $72,630  hakejb1
  *59. $73,206  aardmaark
   60. $73,478  chowchunfu
   61. $73,500  tankmatch
   62. $74,466  SimOet
  *63. $74,714  Larry
   64. $74,735  sardyna12
   65. $75,867  True SmolSir
   66. $75,988  dwuuu.421
   67. $76,030  dotoru80
   68. $76,546  D3MONIC
   69. $76,577  not exist
   70. $76,737  Slacker
   71. $77,024  twitch.tv/skin_the_goat
   72. $77,525  Starstorm
   73. $77,673  Jassuuuuu
  *74. $77,976  Jhay80416
   75. $78,326  Noob シ
   76. $78,689  Salty Snail
   77. $79,084  michi.janke
   78. $79,170  marcus.wasastjerna
   79. $79,603  MintyDog
   80. $80,000  Skelebro68
   81. $80,080  DuuSuu
   82. $80,406  Valnix
   83. $80,757  D3m3NCi4
   84. $80,757  dreadwolf
   85. $80,757  max29
   86. $80,757  jds
   87. $80,757  bxquint
   88. $80,757  3_Circles
   89. $80,757  killerqe1235
   90. $80,757  Lucarafterxd
   91. $80,832  daniel.van.dierendonck
   92. $80,857  Rainey Lovers ❤
   93. $80,867  koutanpuni
   94. $80,925  ivwaurt
   95. $81,050  -mushinbush-
  *96. $81,092  Fiku121
   97. $81,149  BeljihnWahfl
   98. $81,301  Invasian
   99. $81,378  shinji0ishihara
  100. $81,404  celesteal
  101. $81,417  Saiek
 *102. $81,425  Nigi9002.
  103. $81,705  Totulhu
 *104. $81,798  Slutmuffin
  105. $82,046  Grindyson
  106. $82,414  Mr. Scagnetti
  107. $82,665  schrottomat3000
  108. $82,899  Mico el Microfono
  109. $83,117  Xelo
  110. $83,118  robby
  111. $83,350  Mulalu
 *112. $83,484  kb_z
  113. $83,583  henpenben
  114. $83,905  Looming
  115. $83,999  abazibiz
  116. $84,250  扯一路的蛋
 *117. $84,252  ishikka5208
  118. $84,302  mraow~
 *119. $84,372  Cs2O2
 *120. $84,475  Stabhole
  121. $84,625  Berixis
  122. $85,004  CasualSanta
  123. $85,083  tmfoo02
  124. $85,095  castigo
  125. $85,398  猫
  126. $85,509  crocka123
  127. $85,660  Bem
  128. $85,790  Dom
 *129. $85,882  Marijn
  130. $85,909  Seiho2659
  131. $86,435  tokki10
  132. $86,735  mike_hunt114
  133. $86,929  Ivan KC
  134. $87,115  farmkidextream
  135. $87,117  Dogg1
  136. $87,312  MaMumsCar
  137. $87,411  떡실신13호
  138. $87,531  Player
  139. $87,642  孤独
 *140. $87,739  jonaTHOT
  141. $87,958  Catraption
 *142. $88,040  Will
  143. $88,338  Magma
 *144. $88,400  Herneerius
  145. $88,570  Anders
  146. $88,583  martín
  147. $88,586  MoscaTonta
  148. $88,631  BW
  149. $88,674  veggie stix
 *150. $88,774  very sad
  151. $89,076  Suppenteller32
  152. $89,296  jakers0011
  153. $89,317  提莫队长、
  154. $89,413  Thudios
 *155. $89,722  BuildingDR
  156. $89,774  Key
  157. $89,820  SRA
  158. $89,907  pome.😈
  159. $90,175  Pugloney29
  160. $90,200  samurekun
  161. $90,204  Overwolf
  162. $90,317  x420K1113R
  163. $90,554  kilalolabo
  164. $90,666  wcopeland25
 *165. $90,983  Mr.ThisGuy
  166. $91,133  DEVerdier
  167. $91,189  zeroEnter
  168. $91,352  jeremywinick
  169. $91,364  Xeoran
  170. $91,371  kristoffer
 *171. $91,411  カステッロ
  172. $91,545  Wolfelix123
 *173. $91,690  Honn
 *174. $91,756  cfloyd2002
  175. $91,758  mopure33266
  176. $91,846  zezetel
  177. $91,901  Azinegamer
  178. $92,006  kyna
  179. $92,128  allan.elwood
  180. $92,245  Weirdone
 *181. $92,255  simonkilhoffer
  182. $92,280  skya774005
  183. $92,297  315Lukas
  184. $92,337  Ogremor
  185. $92,369  xXSIRNOOBXx
  186. $92,503  Mabartu
  187. $92,563  Kuato
  188. $92,842  Jormungandr
  189. $92,854  ilia.gureev
  190. $92,867  Donald5790
  191. $92,954  park002
  192. $93,014  CoolCorps
  193. $93,087  Elemental Corgi
  194. $93,091  zero
 *195. $93,151  Hennieson
  196. $93,254  lionale29ten
  197. $93,267  pineapplebacon777
 *198. $93,318  Bull Moose
 *199. $93,356  styfree
  200. $93,440  Purple Hacker
 *201. $93,455  kraal
